divergence at cell 0,divergence at cell 1,divergence at cell 2,divergence at cell 3,divergence at cell 4,divergence at cell 5,divergence at cell 6,divergence at cell 7,divergence at cell 8,pressure correction
-0.05016446,-0.05079125,-0.051066637,-0.050148502,-0.05074069,-0.051062375,-0.05016446,-0.05078891,-0.051069006,-0.02283331
-0.046575263,-0.048934475,-0.050167814,-0.04658225,-0.04894446,-0.05016066,-0.046591967,-0.04893951,-0.050162584,-0.022025006
-0.05132413,-0.05132413,-0.051324084,-0.051309586,-0.051309586,-0.051309586,-0.051324606,-0.051324606,-0.051324606,-0.023089312
4.4703484e-08,4.4703484e-08,-4.4703484e-08,-1.4901161e-08,0.0,1.4901161e-08,-0.021611705,-0.022237286,-0.02251269,0.0
-0.051317453,-4.4703484e-08,1.4901161e-08,-0.0513134,0.0,0.0,-0.051321313,-1.4901161e-08,4.4703484e-08,0.0
-0.05076146,-0.051064745,-0.051204413,-0.05075644,-0.051067606,-0.051204413,-0.05075194,-0.051058754,-0.051199168,-0.022980422
-0.051195353,-0.051262125,-0.051291957,-0.05121085,-0.0512729,-0.051293105,-0.051190615,-0.051259294,-0.051282167,-0.023072803
-0.050028816,-0.050733104,-0.05105801,-0.050024018,-0.050733835,-0.05105421,-0.05002953,-0.05073957,-0.051058978,-0.022830226
-0.05129552,-0.051300734,-0.051307946,-0.051327944,-0.05133511,-0.051326513,-0.051295012,-0.05129698,-0.051309824,-0.023100799
-0.046593204,-0.048942313,-0.050164953,-0.046573892,-0.04893233,-0.05016686,-0.046593204,-0.048941612,-0.050155148,-0.022019546
-0.033518836,-0.018080935,-0.030149221,-0.033531085,-0.02141048,-0.03488137,-0.033536956,-0.022555858,-0.03687091,-0.0096347155
-0.048485503,-0.05003287,-0.050740257,-0.04849051,-0.050024986,-0.050728604,-0.048488095,-0.05003999,-0.050739795,-0.022511244
-0.05078891,-0.051069006,-0.05120991,-0.050759524,-0.051060915,-0.05119255,-0.050760746,-0.05106306,-0.051190376,-0.022977412
-0.04867409,-0.04868388,-0.048682243,-0.05010821,-0.050106987,-0.050111294,-0.050762445,-0.05076906,-0.05077912,-0.022548143
-0.051308855,-0.051315546,1.4901161e-08,-0.051308393,-0.051312968,2.9802322e-08,-0.051313892,-0.051318854,-2.9802322e-08,-0.023090836
-0.05120106,-0.05126457,-0.051292866,-0.05119969,-0.051269278,-0.051291704,-0.05120112,-0.05126576,-0.051290944,-0.023071174
-0.034054995,-0.042201504,-0.046567217,1.4901161e-08,1.4901161e-08,0.0,0.0,1.4901161e-08,0.0,6.7055224e-09
0.0,0.0,0.0,-1.4901161e-08,-1.4901161e-08,2.9802322e-08,2.9802322e-08,-2.9802322e-08,-1.4901161e-08,-8.940696e-09
-0.051207244,-0.05124879,-0.051305085,-0.05120109,-0.05125259,-0.05129695,-0.05120276,-0.051257387,-0.05128789,-0.023063663
-0.04860255,-0.048648372,-0.04867409,-0.050010234,-0.05007741,-0.05010821,-0.050674453,-0.050731614,-0.050762445,-0.022534832
-0.05095744,-0.051095694,-0.051162973,-0.051015347,-0.05115509,-0.05122161,-0.05103472,-0.051178426,-0.051245898,-0.02301979
-0.050782487,-0.051064,-0.051211596,-0.05076839,-0.05105087,-0.051195636,-0.050761193,-0.05105187,-0.051196545,-0.022972891
1.4901161e-08,1.4901161e-08,-4.4703484e-08,1.4901161e-08,-4.4703484e-08,4.4703484e-08,-0.022543699,-0.02264215,-0.02268523,-2.0116566e-08
-0.051058054,-0.05121085,-0.0512729,-0.051054448,-0.051190615,-0.051259294,-0.05105731,-0.051203266,-0.051264048,-0.023035776
-0.11656737,-1.4901161e-08,-0.22424671,-0.11724116,0.0,-0.22501108,-0.11754967,0.0,-0.2253325,0.0
-0.05129528,-0.051303342,-0.051327527,-0.05131696,-0.05132462,-0.0513303,-0.051301718,-0.05131121,-0.05129218,-0.023096079
-0.051307917,-0.051314116,-0.051315114,-0.051309556,-0.051322192,-0.051321298,-0.05131197,-0.051311225,-0.051316753,-0.023094986
-0.042217523,-0.046575993,-0.04893422,-0.04220794,-0.046583027,-0.04893656,-0.042195275,-0.046573892,-0.04894282,-0.020962361
-0.05003287,-0.050740257,-0.051058054,-0.050024986,-0.050728604,-0.051054448,-0.05003433,-0.050739974,-0.051057816,-0.022827871
-0.04962185,-0.04990174,-0.050028294,-0.050246045,-0.05054234,-0.05067803,-0.050523743,-0.050827965,-0.050966963,-0.022744052
-0.051075026,-0.051079273,-0.051072583,-0.05120781,-0.05121444,-0.05120945,-0.051266655,-0.051269084,-0.051268086,-0.023046497
-0.030035496,-0.037795544,-0.041716576,-0.032366008,-0.040315658,-0.044453636,-0.033365026,-0.04140903,-0.04566428,-0.018142046
-0.045209885,-0.04851125,-0.05002953,-0.045160532,-0.04848647,-0.050024956,-0.045195863,-0.048487157,-0.05002904,-0.021818912
-0.051316977,-0.051316977,-0.051327914,-0.05131316,-0.05131316,-0.05131316,-0.05132079,-0.05132079,-0.05132079,-0.023090921
-0.051308632,-0.051309586,-0.051309586,-0.051322684,-0.05132462,-0.051324606,-0.05131699,-0.05131626,-0.051317915,-0.023096079
-0.051195353,-0.051262125,-0.051291957,-0.05121085,-0.0512729,-0.051293105,-0.051190615,-0.051259294,-0.051282167,-0.023072803
-0.046573892,-0.04893233,-0.05016686,-0.046593204,-0.048941612,-0.050155148,-0.046575263,-0.048934475,-0.050167814,-0.022023724
-0.05130887,-0.05130361,-0.051322237,-0.051307663,-0.051305786,-0.051323175,-0.05130151,-0.05130501,-0.051312923,-0.023087602
-0.11509539,-2.9802322e-08,-0.22245334,-0.11656737,-1.4901161e-08,-0.22424671,-0.11724116,0.0,-0.22501108,-6.7055224e-09
-0.034059763,-0.042205557,-0.04658152,-0.03405711,-0.04220605,-0.046580583,-0.034060463,-0.04220271,-0.046577215,-0.018992722
-0.051200613,-0.05127503,-0.051299334,-0.051203713,-0.051246896,-0.05129145,-0.0511875,-0.05126506,-0.051296175,-0.023061102
0.0,-2.9802322e-08,2.9802322e-08,-1.4901161e-08,-1.4901161e-08,1.4901161e-08,0.0,0.0,0.0,-6.7055224e-09
-0.04518652,-0.048485264,-0.050025985,-0.045184374,-0.048498422,-0.050030693,-0.045186043,-0.048485503,-0.05003287,-0.02182429
-4.4703484e-08,-0.22558278,-0.034063324,5.9604645e-08,-0.22556669,-0.03405878,-2.9802322e-08,-0.22556326,-0.034050256,-0.101505004
-0.050739795,-0.05105731,-0.051203266,-0.050728798,-0.05105178,-0.051202834,-0.05073215,-0.051053062,-0.051195353,-0.0229733
0.0,0.0,0.0,1.4901161e-08,0.0,0.0,-2.9802322e-08,4.4703484e-08,0.0,0.0
-0.05120465,-0.05126953,-0.05129291,-0.051197976,-0.05126141,-0.05129838,-0.051198915,-0.05126813,-0.05128549,-0.023067635
-0.05131793,-0.11779764,4.4703484e-08,-0.051313892,-0.1177976,-2.9802322e-08,-0.051316977,-0.11779857,-4.4703484e-08,-0.053008918
-0.050167516,-0.050753832,-0.05106382,-0.05016753,-0.050756454,-0.051066697,-0.05016707,-0.050755754,-0.051066414,-0.022840403
-0.022706732,-0.022712737,-0.02270767,-0.03904508,-0.03904511,-0.03904888,-0.045589447,-0.04559113,-0.045592517,-0.0175703
-0.042210773,-0.04657057,-0.048940897,-0.04219535,-0.04658127,-0.0489392,-0.042198643,-0.0465796,-0.048949525,-0.02096157
0.0,0.0,0.0,2.9802322e-08,0.0,1.4901161e-08,-1.4901161e-08,0.0,4.4703484e-08,0.0
-0.051297635,-0.051291972,-0.051288113,-0.05131933,-0.051316738,-0.051308855,-0.05131197,-0.05131744,-0.051308393,-0.02309253
-0.21825668,-0.030035496,-0.037795544,-0.22245334,-0.032366008,-0.040315658,-0.22424671,-0.033365026,-0.04140903,-0.014564703
-0.05125521,-0.051285505,-0.051310763,-0.05126457,-0.051292866,-0.051297903,-0.051269278,-0.051291704,-0.0513227,-0.023081789
-0.051269278,-0.051291972,-0.05130908,-0.051266834,-0.05128531,-0.051307917,-0.051262364,-0.05128716,-0.05130911,-0.02307839
-0.04219626,-0.04658392,-0.04893133,-0.042201504,-0.046567217,-0.048953533,1.4901161e-08,0.0,1.4901161e-08,-0.020955248
-0.05105178,-0.051202834,-0.051270694,-0.051053062,-0.051195353,-0.051262125,-0.051058054,-0.05121085,-0.0512729,-0.023037909
-0.05074069,-0.051062375,-0.051178426,-0.05078891,-0.051069006,-0.05120991,-0.050759524,-0.051060915,-0.05119255,-0.022981051
-0.05130841,-0.051311493,-0.05131267,-0.05129744,-0.05129552,-0.051300734,1.4901161e-08,-1.4901161e-08,-1.4901161e-08,-0.023082983
-0.050737888,-0.051062122,-0.05120489,-0.050733373,-0.051053494,-0.051191345,-0.05073212,-0.051053554,-0.05120106,-0.022974072
-0.045184642,-0.04849717,-0.050028577,-0.04518032,-0.048486695,-0.050027862,-0.045185342,-0.048490047,-0.050031424,-0.021819012
-0.05130218,-0.05131507,-0.05131626,-0.051317975,-0.051315278,-0.051323175,-0.05129884,-0.051306725,-0.05130957,-0.023091875
0.0,-0.5895777,-0.033540294,0.0,-0.58958715,-0.03354034,0.0,-0.5895953,-0.033540294,-0.3537523
-0.051309586,-0.051309586,-0.051309586,-0.05132462,-0.051324606,-0.051324606,-0.051309586,-0.051309586,-0.051309586,-0.023096072
-0.050157785,-0.050759524,-0.051060915,-0.050151363,-0.050760746,-0.05106306,-0.05016446,-0.05079125,-0.051066637,-0.022842335
-0.05120924,-0.051263794,-0.05130741,-0.051179603,-0.051233783,-0.051278383,-0.051200613,-0.05127503,-0.051299334,-0.023055201
-0.05016753,-0.050756454,-0.051066697,-0.05016707,-0.050755754,-0.051066414,-0.050162807,-0.050755233,-0.051059976,-0.022840088
-0.048928514,-0.05016397,-0.05075194,-0.048932776,-0.05016996,-0.050768346,-0.048941597,-0.05016209,-0.050760746,-0.022576481
1.4901161e-08,-4.4703484e-08,0.0,-4.4703484e-08,4.4703484e-08,-1.4901161e-08,-0.02264215,-0.02268523,-0.022697717,2.0116566e-08
-1.4901161e-08,0.0,0.0,-2.9802322e-08,-1.4901161e-08,0.0,-2.9802322e-08,1.4901161e-08,0.0,-6.7055224e-09
-0.05130674,-0.051307917,-0.051312447,-0.05132033,-0.051309556,-0.051322192,-0.05131793,-0.05131197,-0.051311225,-0.023089299
-0.05076386,-0.051054254,-0.051191315,-0.050770268,-0.05105543,-0.051200375,-0.0507662,-0.05105807,-0.051200137,-0.022974944
-0.05132082,-5.9604645e-08,1.4901161e-08,-0.051322237,-1.4901161e-08,1.4901161e-08,-0.05131124,-2.9802322e-08,4.4703484e-08,-6.7055224e-09
0.0,0.0,0.0,0.0,-2.9802322e-08,1.4901161e-08,2.9802322e-08,-2.9802322e-08,2.9802322e-08,-1.7881392e-08
-0.050763354,-0.051063567,-0.051202968,-0.050763354,-0.05105473,-0.051195845,-0.050759524,-0.05106376,-0.051206365,-0.022974629
-0.04868932,-0.04868579,-0.048691288,-0.0501201,-0.05012323,-0.05012299,-0.050781995,-0.05077812,-0.050788626,-0.022555452
